id,name,latitude,longtitude,dpcapacity,online_date
100,"Orleans St & Merchandise Mart Plaza",41.8882,-87.6364,31,2013-07-16
101,"63rd St Beach",41.781,-87.5761,23,2015-04-20
102,"Stony Island Ave & 67th St",41.7735,-87.5853,11,2015-04-22
103,"Clinton St & Polk St (*)",41.8715,-87.6409,16,2015-05-08
106,"State St & Pearson St",41.8974,-87.6287,27,2013-08-01
107,"Desplaines St & Jackson Blvd",41.8783,-87.6439,23,2015-04-25
108,"Halsted St & Polk St",41.8718,-87.6466,19,2013-08-06
109,"900 W Harrison St",41.8747,-87.65,19,2013-08-06
110,"Dearborn St & Erie St",41.894,-87.6293,23,2013-08-01
111,"Sedgwick St & Huron St",41.8947,-87.6384,19,2013-08-01
112,"Green St & Randolph St",41.8837,-87.6487,15,2013-07-29
113,"Bissell St & Armitage Ave",41.9184,-87.6522,15,2013-09-05
114,"Sheffield Ave & Addison St",41.947,-87.6542,27,2013-08-02
115,"Sheffield Ave & Wellington Ave",41.9363,-87.6527,23,2013-07-22
116,"Western Ave & Winnebago Ave",41.9154,-87.6872,15,2013-07-26
117,"Wilton Ave & Belmont Ave",41.9402,-87.653,23,2013-08-02
118,"Sedgwick St & North Ave",41.9114,-87.6387,19,2013-08-01
119,"Ashland Ave & Lake St",41.8854,-87.6673,19,2013-07-28
120,"Wentworth Ave & Archer Ave",41.8536,-87.6319,23,2013-08-06
121,"Blackstone Ave & Hyde Park Blvd",41.8026,-87.5904,19,2013-08-28
122,"Ogden Ave & Congress Pkwy",41.875,-87.6733,15,2013-07-28
123,"California Ave & Milwaukee Ave",41.9227,-87.6972,15,2013-07-26
124,"Damen Ave & Cullerton St",41.855,-87.6757,15,2013-08-03
125,"Rush St & Hubbard St",41.89,-87.6263,15,2015-05-08
126,"Clark St & North Ave",41.912,-87.6319,15,2013-07-29
127,"Lincoln Ave & Fullerton Ave",41.9259,-87.6493,15,2013-10-29
128,"Damen Ave & Chicago Ave",41.8958,-87.6772,15,2013-08-03
129,"Blue Island Ave & 18th St",41.8576,-87.6615,15,2013-07-25
130,"Damen Ave & Division St",41.9033,-87.6769,15,2013-07-26
131,"Lincoln Ave & Belmont Ave",41.9394,-87.6684,15,2013-09-23
132,"Wentworth Ave & 24th St",41.8492,-87.6317,15,2013-09-05
133,"Kingsbury St & Kinzie St",41.8892,-87.6385,27,2015-04-25
134,"Peoria St & Jackson Blvd",41.8778,-87.6496,19,2013-07-25
135,"Halsted St & 21st St",41.8538,-87.6467,11,2013-07-24
136,"Racine Ave & 13th St",41.8651,-87.657,15,2013-07-31
137,"Morgan Ave & 14th Pl",41.8624,-87.6511,15,2013-07-31
138,"Clybourn Ave & Division St",41.9046,-87.6405,15,2013-08-05
140,"Dearborn Pkwy & Delaware Pl",41.899,-87.6299,19,2013-08-01
141,"Clark St & Lincoln Ave",41.9157,-87.6346,23,2013-08-16
142,"McClurg Ct & Erie St",41.8945,-87.6179,31,2015-05-08
143,"Sedgwick St & Webster Ave",41.9222,-87.6389,15,2013-08-03
144,"Larrabee St & Webster Ave",41.9218,-87.6441,15,2013-08-02
145,"Mies van der Rohe Way & Chestnut St",41.8986,-87.6219,19,2015-05-08
146,"Loomis St & Jackson Blvd",41.8779,-87.662,11,2013-07-28
147,"Indiana Ave & 26th St",41.8454,-87.6222,15,2013-07-23
148,"State St & 33rd St",41.8347,-87.6258,11,2013-08-27
149,"Calumet Ave & 33rd St",41.8349,-87.6179,11,2013-08-03
150,"Fort Dearborn Dr & 31st St",41.8386,-87.6082,15,2013-07-23
152,"Lincoln Ave & Diversey Pkwy",41.9322,-87.6586,15,2013-07-29
153,"Southport Ave & Wellington Ave",41.9357,-87.6636,19,2013-07-25
154,"Southport Ave & Belmont Ave",41.9395,-87.6638,15,2013-07-29
156,"Clark St & Wellington Ave",41.9365,-87.6475,15,2013-08-02
157,"Lake Shore Dr & Wellington Ave",41.9367,-87.6368,15,2013-08-01
158,"Milwaukee Ave & Wabansia Ave",41.9126,-87.6814,15,2013-07-26
159,"Claremont Ave & Hirsch St",41.9078,-87.6859,11,2013-07-26
160,"Campbell Ave & North Ave",41.9105,-87.6896,15,2013-07-26
161,"Rush St & Superior St",41.8958,-87.6259,23,2015-05-09
162,"Damen Ave & Wellington Ave",41.9359,-87.6784,15,2013-07-25
163,"Damen Ave & Clybourn Ave",41.9319,-87.6779,15,2013-07-29
164,"Franklin St & Lake St",41.8858,-87.6355,23,2013-08-03
165,"Clark St & Grace St",41.9508,-87.6592,19,2013-08-03
166,"Ashland Ave & Wrightwood Ave",41.9288,-87.6685,15,2013-07-25
167,"Damen Ave & Coulter St",41.8492,-87.6756,11,2013-07-25
168,"Michigan Ave & 14th St",41.8641,-87.6237,19,2013-08-03
169,"Canal St & Harrison St",41.8743,-87.6396,15,2013-07-23
170,"Clinton St & 18th St",41.8579,-87.6408,15,2013-07-25
171,"May St & Cullerton St",41.8551,-87.6541,11,2013-07-25
172,"Rush St & Cedar St",41.9023,-87.6277,11,2015-05-09
173,"Mies van der Rohe Way & Chicago Ave",41.8969,-87.6217,15,2013-08-01
174,"Canal St & Madison St",41.8821,-87.6398,27,2013-07-28
175,"Wells St & Polk St",41.8724,-87.6335,19,2013-08-03
176,"Clark St & Elm St",41.903,-87.6313,27,2013-08-01
177,"Theater on the Lake",41.9263,-87.6308,23,2013-08-13
178,"State St & 19th St",41.8566,-87.6275,15,2013-07-22
179,"MLK Jr Dr & Oakwood Blvd",41.8226,-87.6161,15,2013-07-24
180,"Ritchie Ct & Banks St",41.9068,-87.6264,15,2015-05-09
181,"LaSalle St & Illinois St",41.8908,-87.6321,31,2013-07-21
182,"Wells St & Elm St",41.9032,-87.6343,23,2015-06-16
183,"Damen Ave & Augusta Blvd",41.8997,-87.6772,15,2013-07-26
184,"State St & 35th St",41.831,-87.6269,19,2013-08-03
185,"Stave St & Armitage Ave",41.9177,-87.6914,11,2013-07-26
186,"Ogden Ave & Race Ave",41.8918,-87.6588,15,2013-07-28
188,"Greenview Ave & Fullerton Ave",41.9253,-87.6658,15,2013-07-29
190,"Southport Ave & Wrightwood Ave",41.9288,-87.6639,15,2013-08-06
191,"Canal St & Monroe St (*)",41.8809,-87.6395,28,2013-08-07
192,"Canal St & Adams St",41.8793,-87.6399,47,2013-08-07
193,"State St & 29th St",41.8417,-87.6269,15,2013-08-23
194,"Wabash Ave & Wacker Pl",41.8869,-87.626,19,2013-08-10
195,"Columbus Dr & Randolph St",41.8847,-87.6195,31,2013-08-10
196,"Cityfront Plaza Dr & Pioneer Ct",41.8906,-87.6221,19,2013-08-10
197,"Michigan Ave & Madison St",41.8821,-87.6251,19,2013-08-10
198,"Green St & Madison St",41.8819,-87.6488,19,2013-08-10
199,"Wabash Ave & Grand Ave",41.8917,-87.6269,15,2013-08-10
200,"MLK Jr Dr & 47th St",41.8099,-87.6163,11,2013-08-14
201,"Indiana Ave & 40th St",41.8217,-87.6216,15,2013-08-14
202,"Halsted St & 18th St",41.8575,-87.6463,15,2013-08-15
203,"Western Ave & 21st St",41.8539,-87.6852,15,2013-08-15
204,"Prairie Ave & Garfield Blvd",41.7949,-87.6187,15,2013-08-14
205,"Paulina St & 18th St",41.8579,-87.6687,15,2013-08-15
206,"Halsted St & Archer Ave",41.8472,-87.6468,15,2013-08-14
207,"Emerald Ave & 28th St",41.8436,-87.6454,15,2013-08-15
208,"Ashland Ave & 21st St",41.8538,-87.6659,15,2013-08-15
209,"Normal Ave & Archer Ave",41.8495,-87.6406,11,2013-08-15
210,"Ashland Ave & Division St",41.9035,-87.6677,19,2013-08-16
211,"St. Clair St & Erie St",41.8944,-87.6227,19,2013-08-15
212,"Orleans St & Ohio St",41.8922,-87.6369,23,2013-08-16
213,"Leavitt St & North Ave",41.9102,-87.6823,15,2013-08-16
214,"Damen Ave & Grand Ave",41.8912,-87.6769,15,2013-08-16
215,"Damen Ave & Madison St",41.8814,-87.6749,15,2013-08-15
216,"California Ave & Division St",41.903,-87.6975,15,2013-08-16
217,"May St & Fulton St",41.8868,-87.656,15,2013-08-16
218,"Wells St & 19th St",41.8568,-87.6339,11,2013-08-23
219,"Damen Ave & Cortland St",41.916,-87.6774,11,2013-08-20
220,"Hampden Ct & Diversey Pkwy",41.9326,-87.6424,23,2013-08-19
222,"Milwaukee Ave & Rockwell St",41.9202,-87.693,19,2013-08-22
223,"Clifton Ave & Armitage Ave",41.9182,-87.6569,15,2013-08-22
224,"Halsted St & Willow St",41.9138,-87.6488,19,2013-08-22
225,"Halsted St & Dickens Ave",41.9199,-87.6488,15,2013-08-19
226,"Racine Ave & Belmont Ave",41.9397,-87.6589,15,2013-08-19
