starttimes,from_station_name,to_station_name,counts,from_lat,from_long,to_lat,to_long
6,Hampden Ct & Diversey Pkwy,Wilton Ave & Diversey Pkwy,2,41.9326,-87.6424,41.9324,-87.6527
7,Clinton St & Washington Blvd,Franklin St & Chicago Ave,6,41.8834,-87.6412,41.8968,-87.6356
7,Racine Ave & Wrightwood Ave,Sheffield Ave & Fullerton Ave,5,41.9289,-87.659,41.9256,-87.6537
7,Canal St & Madison St,Dearborn St & Monroe St,5,41.8821,-87.6398,41.8813,-87.6295
7,Clinton St & Washington Blvd,LaSalle St & Jackson Blvd,5,41.8834,-87.6412,41.8782,-87.632
7,Millennium Park,Museum of Science and Industry,4,41.881,-87.6241,41.7917,-87.5839
7,Clinton St & Washington Blvd,St. Clair St & Erie St,4,41.8834,-87.6412,41.8944,-87.6227
7,Canal St & Madison St,LaSalle St & Jackson Blvd,3,41.8821,-87.6398,41.8782,-87.632
7,Clark St & Armitage Ave,May St & Randolph St,3,41.9183,-87.6363,41.884,-87.6557
7,Ellis Ave & 55th St,Ellis Ave & 58th St,3,41.7943,-87.6014,41.7887,-87.6013
7,Canal St & Adams St,State St & Kinzie St,3,41.8793,-87.6399,41.8892,-87.6277
7,Orleans St & Ohio St,Franklin St & Quincy St,3,41.8922,-87.6369,41.8787,-87.6348
7,Franklin St & Jackson Blvd,State St & Van Buren St,3,41.8777,-87.6353,41.8772,-87.6278
7,Financial Pl & Congress Pkwy,Wacker Dr & Washington St,2,41.875,-87.6331,41.8833,-87.6373
7,Financial Pl & Congress Pkwy,Aberdeen St & Jackson Blvd,2,41.875,-87.6331,41.8777,-87.6548
7,Lake Shore Dr & Ohio St,LaSalle St & Jackson Blvd,2,41.8926,-87.6145,41.8782,-87.632
7,Desplaines St & Kinzie St,Kingsbury St & Kinzie St,2,41.8887,-87.6444,41.8892,-87.6385
7,Desplaines St & Kinzie St,Clinton St & Washington Blvd,2,41.8887,-87.6444,41.8834,-87.6412
7,Wabash Ave & 16th St,Indiana Ave & Roosevelt Rd,2,41.8604,-87.6258,41.8679,-87.623
7,Southport Ave & Wellington Ave,Sheffield Ave & Wellington Ave,2,41.9357,-87.6636,41.9363,-87.6527
7,Southport Ave & Wellington Ave,Wilton Ave & Diversey Pkwy,2,41.9357,-87.6636,41.9324,-87.6527
7,Southport Ave & Wellington Ave,Sheffield Ave & Fullerton Ave,2,41.9357,-87.6636,41.9256,-87.6537
7,State St & Van Buren St,Franklin St & Jackson Blvd,2,41.8772,-87.6278,41.8777,-87.6353
7,Canal St & Madison St,Stetson Ave & South Water St,2,41.8821,-87.6398,41.8868,-87.6223
7,Canal St & Madison St,Michigan Ave & Washington St,2,41.8821,-87.6398,41.8839,-87.6246
7,Canal St & Madison St,Wells St & Huron St,2,41.8821,-87.6398,41.8947,-87.6338
7,Canal St & Madison St,Michigan Ave & Lake St,2,41.8821,-87.6398,41.886,-87.6241
7,Canal St & Madison St,Franklin St & Chicago Ave,2,41.8821,-87.6398,41.8968,-87.6356
7,Canal St & Madison St,Orleans St & Merchandise Mart Plaza,2,41.8821,-87.6398,41.8882,-87.6364
7,Canal St & Madison St,Columbus Dr & Randolph St,2,41.8821,-87.6398,41.8847,-87.6195
7,Damen Ave & Augusta Blvd,Larrabee St & Kingsbury St,2,41.8997,-87.6772,41.8978,-87.6429
7,Wells St & Polk St,Franklin St & Monroe St,2,41.8724,-87.6335,41.8803,-87.6352
7,Clark St & Armitage Ave,Michigan Ave & Lake St,2,41.9183,-87.6363,41.886,-87.6241
7,Halsted St & Roscoe St,Wilton Ave & Belmont Ave,2,41.9437,-87.6489,41.9402,-87.653
7,Kingsbury St & Erie St,Kingsbury St & Kinzie St,2,41.8939,-87.6417,41.8892,-87.6385
7,Kingsbury St & Erie St,Orleans St & Ohio St,2,41.8939,-87.6417,41.8922,-87.6369
7,Union Ave & Grand Ave,Sedgwick St & Huron St,2,41.891,-87.6459,41.8947,-87.6384
7,Michigan Ave & 18th St,Dearborn St & Adams St,2,41.8578,-87.6245,41.8794,-87.6298
7,Canal St & Adams St,Wabash Ave & Grand Ave,2,41.8793,-87.6399,41.8917,-87.6269
7,Canal St & Adams St,Sangamon St & Washington Blvd (*),2,41.8793,-87.6399,41.883,-87.6511
7,Canal St & Adams St,Michigan Ave & Lake St,2,41.8793,-87.6399,41.886,-87.6241
7,Canal St & Adams St,Larrabee St & Kingsbury St,2,41.8793,-87.6399,41.8978,-87.6429
7,Canal St & Adams St,Michigan Ave & Oak St,2,41.8793,-87.6399,41.901,-87.6238
7,Canal St & Adams St,Columbus Dr & Randolph St,2,41.8793,-87.6399,41.8847,-87.6195
7,Canal St & Jackson Blvd,Dearborn St & Erie St,2,41.8784,-87.6411,41.894,-87.6293
