daysofweek,hours,times,n,usertype
4.1,6.1,406,6740,Subscriber
4.1,7.1,407,343,Customer
4.1,7.1,407,13437,Subscriber
4.1,8.1,408,611,Customer
4.1,8.1,408,14239,Subscriber
4.1,9.1,409,968,Customer
4.1,9.1,409,6010,Subscriber
4.1,10.1,410,1566,Customer
4.1,10.1,410,3878,Subscriber
4.1,11.1,411,2151,Customer
4.1,11.1,411,4971,Subscriber
4.1,12.1,412,2396,Customer
4.1,12.1,412,6212,Subscriber
4.1,13.1,413,2314,Customer
4.1,13.1,413,5563,Subscriber
4.1,14.1,414,2577,Customer
4.1,14.1,414,5095,Subscriber
4.1,15.1,415,2650,Customer
4.1,15.1,415,6635,Subscriber
4.1,16.1,416,2875,Customer
4.1,16.1,416,14544,Subscriber
4.1,17.1,417,2768,Customer
4.1,17.1,417,22351,Subscriber
4.1,18.1,418,2437,Customer
4.1,18.1,418,15386,Subscriber
4.1,19.1,419,1925,Customer
4.1,19.1,419,9876,Subscriber
4.1,20.1,420,1587,Customer
4.1,20.1,420,6792,Subscriber
4.1,21.1,421,1151,Customer
4.1,21.1,421,4916,Subscriber
4.1,22.1,422,1070,Customer
4.1,22.1,422,3556,Subscriber
4.1,23.1,423,568,Customer
4.1,23.1,423,1721,Subscriber
5.1,0.1,500,266,Customer
5.1,0.1,500,751,Subscriber
5.1,1.1,501,140,Customer
5.1,1.1,501,335,Subscriber
5.1,2.1,502,73,Customer
5.1,2.1,502,196,Subscriber
5.1,3.1,503,55,Customer
5.1,3.1,503,137,Subscriber
5.1,4.1,504,26,Customer
5.1,4.1,504,277,Subscriber
5.1,5.1,505,32,Customer
5.1,5.1,505,1726,Subscriber
5.1,6.1,506,196,Customer
5.1,6.1,506,6418,Subscriber
5.1,7.1,507,322,Customer
5.1,7.1,507,13257,Subscriber
5.1,8.1,508,595,Customer
5.1,8.1,508,16024,Subscriber
5.1,9.1,509,1150,Customer
5.1,9.1,509,6831,Subscriber
5.1,10.1,510,1677,Customer
5.1,10.1,510,4311,Subscriber
5.1,11.1,511,2330,Customer
5.1,11.1,511,5046,Subscriber
5.1,12.1,512,2637,Customer
5.1,12.1,512,5916,Subscriber
5.1,13.1,513,2897,Customer
5.1,13.1,513,5721,Subscriber
5.1,14.1,514,3005,Customer
5.1,14.1,514,5412,Subscriber
5.1,15.1,515,3234,Customer
5.1,15.1,515,6978,Subscriber
5.1,16.1,516,2940,Customer
5.1,16.1,516,14414,Subscriber
5.1,17.1,517,2768,Customer
5.1,17.1,517,21419,Subscriber
5.1,18.1,518,2444,Customer
5.1,18.1,518,14924,Subscriber
5.1,19.1,519,1857,Customer
5.1,19.1,519,10018,Subscriber
5.1,20.1,520,1483,Customer
5.1,20.1,520,6673,Subscriber
5.1,21.1,521,1009,Customer
5.1,21.1,521,4687,Subscriber
5.1,22.1,522,853,Customer
5.1,22.1,522,3301,Subscriber
5.1,23.1,523,475,Customer
5.1,23.1,523,1720,Subscriber
6.1,0.1,600,302,Customer
6.1,0.1,600,935,Subscriber
6.1,1.1,601,224,Customer
6.1,1.1,601,530,Subscriber
6.1,2.1,602,138,Customer
6.1,2.1,602,291,Subscriber
6.1,3.1,603,88,Customer
6.1,3.1,603,145,Subscriber
6.1,4.1,604,54,Customer
6.1,4.1,604,344,Subscriber
6.1,5.1,605,91,Customer
6.1,5.1,605,1744,Subscriber
6.1,6.1,606,198,Customer
6.1,6.1,606,6458,Subscriber
6.1,7.1,607,426,Customer
6.1,7.1,607,14298,Subscriber
6.1,8.1,608,874,Customer
6.1,8.1,608,16906,Subscriber
6.1,9.1,609,1529,Customer
6.1,9.1,609,7395,Subscriber
6.1,10.1,610,2325,Customer
6.1,10.1,610,4799,Subscriber
6.1,11.1,611,3612,Customer
6.1,11.1,611,5906,Subscriber
6.1,12.1,612,4063,Customer
6.1,12.1,612,7818,Subscriber
6.1,13.1,613,4430,Customer
6.1,13.1,613,8008,Subscriber
6.1,14.1,614,4544,Customer
6.1,14.1,614,7898,Subscriber
6.1,15.1,615,4597,Customer
6.1,15.1,615,9777,Subscriber
6.1,16.1,616,4287,Customer
6.1,16.1,616,15484,Subscriber
6.1,17.1,617,4147,Customer
6.1,17.1,617,18602,Subscriber
6.1,18.1,618,3119,Customer
6.1,18.1,618,12093,Subscriber
6.1,19.1,619,2736,Customer
6.1,19.1,619,8017,Subscriber
6.1,20.1,620,2021,Customer
6.1,20.1,620,5210,Subscriber
6.1,21.1,621,1593,Customer
6.1,21.1,621,4008,Subscriber
6.1,22.1,622,1423,Customer
6.1,22.1,622,3218,Subscriber
6.1,23.1,623,1001,Customer
6.1,23.1,623,2278,Subscriber
7.1,0.1,700,650,Customer
7.1,0.1,700,1473,Subscriber
7.1,1.1,701,481,Customer
7.1,1.1,701,1120,Subscriber
7.1,2.1,702,311,Customer
7.1,2.1,702,625,Subscriber
7.1,3.1,703,175,Customer
7.1,3.1,703,346,Subscriber
7.1,4.1,704,123,Customer
7.1,4.1,704,229,Subscriber
7.1,5.1,705,109,Customer
7.1,5.1,705,543,Subscriber
7.1,6.1,706,224,Customer
7.1,6.1,706,1262,Subscriber
7.1,7.1,707,550,Customer
7.1,7.1,707,2289,Subscriber
7.1,8.1,708,1248,Customer
7.1,8.1,708,4021,Subscriber
7.1,9.1,709,2908,Customer
7.1,9.1,709,5714,Subscriber
7.1,10.1,710,5262,Customer
7.1,10.1,710,7400,Subscriber
7.1,11.1,711,7224,Customer
7.1,11.1,711,8235,Subscriber
7.1,12.1,712,9189,Customer
7.1,12.1,712,9067,Subscriber
7.1,13.1,713,10562,Customer
7.1,13.1,713,8708,Subscriber
7.1,14.1,714,10997,Customer
7.1,14.1,714,8596,Subscriber
7.1,15.1,715,11093,Customer
7.1,15.1,715,8373,Subscriber
7.1,16.1,716,10890,Customer
7.1,16.1,716,8168,Subscriber
7.1,17.1,717,9813,Customer
7.1,17.1,717,7917,Subscriber
7.1,18.1,718,7822,Customer
7.1,18.1,718,7283,Subscriber
7.1,19.1,719,5593,Customer
7.1,19.1,719,5712,Subscriber
7.1,20.1,720,3841,Customer
7.1,20.1,720,4338,Subscriber
7.1,21.1,721,2911,Customer
7.1,21.1,721,3533,Subscriber
7.1,22.1,722,2594,Customer
7.1,22.1,722,3037,Subscriber
7.1,23.1,723,1858,Customer
7.1,23.1,723,2336,Subscriber
